date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:38:34	284/284	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202025%2023:38:34%20GMT	https://eli.thegreenplace.net/robots.txt		(from )
06:38:35	70656/70656	U--M-Z	200	updated ('OK')	text/html	etag:%2211400-62e1a7229d900-gzip%22	https://eli.thegreenplace.net/	eli.thegreenplace.net/index.html	(from )
06:38:36	99548/99548	U--M-Z	200	updated ('OK')	text/css	etag:%22184dc-5ea35fe54eeaa-gzip%22	https://eli.thegreenplace.net/theme/css/bootstrap.min.css	eli.thegreenplace.net/theme/css/bootstrap.min.css	(from https://eli.thegreenplace.net/)
06:38:40	318/318	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%2213e-5ea35fe505ac4%22	https://eli.thegreenplace.net/favicon.ico	eli.thegreenplace.net/favicon.ico	(from https://eli.thegreenplace.net/)
06:38:41	17780/17780	U--M-Z	200	updated ('OK')	text/css	etag:%224574-5ea35fe54fe4a-gzip%22	https://eli.thegreenplace.net/theme/css/font-awesome.min.css	eli.thegreenplace.net/theme/css/font-awesome.min.css	(from https://eli.thegreenplace.net/)
06:38:41	2089/2089	U--M-Z	200	updated ('OK')	text/css	etag:%22829-5ea35fe550dea-gzip%22	https://eli.thegreenplace.net/theme/css/pygments/vs.css	eli.thegreenplace.net/theme/css/pygments/vs.css	(from https://eli.thegreenplace.net/)
06:38:42	5528/5528	U--M-Z	200	updated ('OK')	text/css	etag:%221598-608c7823b971d-gzip%22	https://eli.thegreenplace.net/theme/css/style.css	eli.thegreenplace.net/theme/css/style.css	(from https://eli.thegreenplace.net/)
06:38:44	32754/32754	U--M-Z	200	updated ('OK')	text/html	etag:%227ff2-62e1a7231a907-gzip%22	https://eli.thegreenplace.net/pages/projects	eli.thegreenplace.net/pages/projects.html	(from https://eli.thegreenplace.net/)
06:38:45	591700/591700	U--MCZ	200	updated ('OK')	application/xml	etag:%2290754-62e1a7200d4de-gzip%22	https://eli.thegreenplace.net/feeds/all.atom.xml	eli.thegreenplace.net/feeds/all.atom.xml	(from https://eli.thegreenplace.net/)
06:38:47	68920/68920	U--M-Z	200	updated ('OK')	text/html	etag:%2210d38-62e1a720b2587-gzip%22	https://eli.thegreenplace.net/2025/decorator-jits-python-as-a-dsl/	eli.thegreenplace.net/2025/decorator-jits-python-as-a-dsl/index.html	(from https://eli.thegreenplace.net/)
06:38:48	1585/1585	U-----	200	untouched ('')	image/png	etag:%22631-5ea35fe521046%22	https://eli.thegreenplace.net/images/logosmall.png	eli.thegreenplace.net/images/logosmall.png	(from https://eli.thegreenplace.net/)
06:38:48	5469/5469	U--M-Z	200	updated ('OK')	text/html	etag:%22155d-62e1a723189c7-gzip%22	https://eli.thegreenplace.net/pages/about	eli.thegreenplace.net/pages/about.html	(from https://eli.thegreenplace.net/)
06:38:50	20868/20868	U--M-Z	200	updated ('OK')	text/html	etag:%225184-62e1a722a4661-gzip%22	https://eli.thegreenplace.net/archives/all	eli.thegreenplace.net/archives/all.html	(from https://eli.thegreenplace.net/)
06:38:52	80077/80077	U--M-Z	200	updated ('OK')	text/html	etag:%22138cd-62e1a7211400c-gzip%22	https://eli.thegreenplace.net/2017/adventures-in-jit-compilation-part-1-an-interpreter/	eli.thegreenplace.net/2017/adventures-in-jit-compilation-part-1-an-interpreter/index.html	(from https://eli.thegreenplace.net/)
06:38:53	62748/62748	U--M-Z	200	updated ('OK')	text/html	etag:%22f51c-62e1a720b2587-gzip%22	https://eli.thegreenplace.net/2025/reverse-mode-automatic-differentiation/	eli.thegreenplace.net/2025/reverse-mode-automatic-differentiation/index.html	(from https://eli.thegreenplace.net/)
06:38:53	12313/12313	U-----	200	untouched ('')	image/png	etag:%223019-62d3da09d3051%22	https://eli.thegreenplace.net/images/2025/decjit-python.png	eli.thegreenplace.net/images/2025/decjit-python.png	(from https://eli.thegreenplace.net/)
06:38:55	18068/18068	U--M-Z	200	updated ('OK')	text/html	etag:%224694-62e1a7215668f-gzip%22	https://eli.thegreenplace.net/2015/building-and-using-llvmlite-a-basic-example/	eli.thegreenplace.net/2015/building-and-using-llvmlite-a-basic-example/index.html	(from https://eli.thegreenplace.net/)
06:38:55	23434/23434	U--M-Z	200	updated ('OK')	text/html	etag:%225b8a-62e1a721631b0-gzip%22	https://eli.thegreenplace.net/2013/11/05/how-to-jit-an-introduction	eli.thegreenplace.net/2013/11/05/how-to-jit-an-introduction.html	(from https://eli.thegreenplace.net/)
06:38:55	53856/53856	U--M-Z	200	updated ('OK')	text/html	etag:%22d260-62e1a720b3527-gzip%22	https://eli.thegreenplace.net/2024/implementing-raft-part-5-exactly-once-delivery/	eli.thegreenplace.net/2024/implementing-raft-part-5-exactly-once-delivery/index.html	(from https://eli.thegreenplace.net/)
06:38:56	66899/66899	U--M-Z	200	updated ('OK')	text/html	etag:%2210553-62e1a720b44c7-gzip%22	https://eli.thegreenplace.net/2024/ranging-over-functions-in-go-123/	eli.thegreenplace.net/2024/ranging-over-functions-in-go-123/index.html	(from https://eli.thegreenplace.net/)
06:38:56	54467/54467	U--M-Z	200	updated ('OK')	text/html	etag:%22d4c3-62e1a720b3527-gzip%22	https://eli.thegreenplace.net/2024/gomlx-ml-in-go-without-python/	eli.thegreenplace.net/2024/gomlx-ml-in-go-without-python/index.html	(from https://eli.thegreenplace.net/)
06:38:57	41790/41790	U--M-Z	200	updated ('OK')	text/html	etag:%22a33e-62e1a720b44c7-gzip%22	https://eli.thegreenplace.net/2024/ml-in-go-with-a-python-sidecar/	eli.thegreenplace.net/2024/ml-in-go-with-a-python-sidecar/index.html	(from https://eli.thegreenplace.net/)
06:38:58	10949/10949	U--M-Z	200	updated ('OK')	text/html	etag:%222ac5-62e1a720b3527-gzip%22	https://eli.thegreenplace.net/2024/summary-of-reading-october-december-2024/	eli.thegreenplace.net/2024/summary-of-reading-october-december-2024/index.html	(from https://eli.thegreenplace.net/)
06:38:59	85496/85496	U--M-Z	200	updated ('OK')	text/html	etag:%2214df8-62e1a720b44c7-gzip%22	https://eli.thegreenplace.net/2024/implementing-raft-part-4-keyvalue-database/	eli.thegreenplace.net/2024/implementing-raft-part-4-keyvalue-database/index.html	(from https://eli.thegreenplace.net/)
06:39:02	31189/31189	U--M-Z	200	updated ('OK')	text/html	etag:%2279d5-62e1a720b44c7-gzip%22	https://eli.thegreenplace.net/2024/bloch-sphere/	eli.thegreenplace.net/2024/bloch-sphere/index.html	(from https://eli.thegreenplace.net/)
06:39:02	25160/25160	U--M-Z	200	updated ('OK')	text/html	etag:%226248-62e1a720b44c7-gzip%22	https://eli.thegreenplace.net/2024/calculating-the-norm-of-a-complex-number/	eli.thegreenplace.net/2024/calculating-the-norm-of-a-complex-number/index.html	(from https://eli.thegreenplace.net/)
06:39:04	27822/27822	U-----	200	untouched ('')	text/javascript	etag:%226cae-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/js/bootstrap.min.js	eli.thegreenplace.net/theme/js/bootstrap.min.js	(from https://eli.thegreenplace.net/)
06:39:05	18403/18403	U--M-Z	200	updated ('OK')	text/html	etag:%2247e3-62e1a720b5467-gzip%22	https://eli.thegreenplace.net/2024/linearizability-in-distributed-systems/	eli.thegreenplace.net/2024/linearizability-in-distributed-systems/index.html	(from https://eli.thegreenplace.net/)
06:39:08	9100/9100	U-----	200	untouched ('')	text/javascript	etag:%22238c-5f28a04a90e0f%22	https://eli.thegreenplace.net/theme/js/count.js	eli.thegreenplace.net/theme/js/count.js	(from https://eli.thegreenplace.net/)
06:39:09	20290/20290	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224f42-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.eot	eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.eot	(from https://eli.thegreenplace.net/theme/css/bootstrap.min.css)
06:39:11	20290/20290	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%224f42-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.eot?	eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regulard41d.eot	(from https://eli.thegreenplace.net/theme/css/bootstrap.min.css)
06:39:11	62850/62850	U--M-Z	200	updated ('OK')	image/svg+xml	etag:%22f582-5ea35fe551d8a-gzip%22	https://eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.svg	eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.svg	(from https://eli.thegreenplace.net/theme/css/bootstrap.min.css)
06:39:12	23292/23292	U-----	200	untouched ('')	font/woff	etag:%225afc-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.woff	eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.woff	(from https://eli.thegreenplace.net/theme/css/bootstrap.min.css)
06:39:15	41236/41236	U-----	200	untouched ('')	font/ttf	etag:%22a114-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.ttf	eli.thegreenplace.net/theme/fonts/glyphicons-halflings-regular.ttf	(from https://eli.thegreenplace.net/theme/css/bootstrap.min.css)
06:39:16	38205/38205	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22953d-5ea35fe550dea%22	https://eli.thegreenplace.net/theme/fonts/fontawesome-webfont.eot?	eli.thegreenplace.net/theme/fonts/fontawesome-webfontd41d.eot	(from https://eli.thegreenplace.net/theme/css/font-awesome.min.css)
06:39:17	38205/38205	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22953d-5ea35fe550dea%22	https://eli.thegreenplace.net/theme/fonts/fontawesome-webfont.eot?v=4.0.3	eli.thegreenplace.net/theme/fonts/fontawesome-webfontba72.eot	(from https://eli.thegreenplace.net/theme/css/font-awesome.min.css)
06:39:18	44432/44432	U-----	200	untouched ('')	font/woff	etag:%22ad90-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/fontawesome-webfont.woff?v=4.0.3	eli.thegreenplace.net/theme/fonts/fontawesome-webfontba72.woff	(from https://eli.thegreenplace.net/theme/css/font-awesome.min.css)
06:39:19	202148/202148	U--M-Z	200	updated ('OK')	image/svg+xml	etag:%22315a4-5ea35fe550dea-gzip%22	https://eli.thegreenplace.net/theme/fonts/fontawesome-webfont.svg?v=4.0.3	eli.thegreenplace.net/theme/fonts/fontawesome-webfontba72.svg	(from https://eli.thegreenplace.net/theme/css/font-awesome.min.css)
06:39:21	80652/80652	U-----	200	untouched ('')	font/ttf	etag:%2213b0c-5ea35fe551d8a%22	https://eli.thegreenplace.net/theme/fonts/fontawesome-webfont.ttf?v=4.0.3	eli.thegreenplace.net/theme/fonts/fontawesome-webfontba72.ttf	(from https://eli.thegreenplace.net/theme/css/font-awesome.min.css)
06:39:23	31000/31000	U-----	200	untouched ('')	image/png	etag:%227918-608c7823b971d%22	https://eli.thegreenplace.net/images/pages/the-c-programming-language.png	eli.thegreenplace.net/images/pages/the-c-programming-language.png	(from https://eli.thegreenplace.net/pages/projects)
06:39:25	2905/2905	U--M-Z	200	updated ('OK')	image/svg+xml	etag:%22b59-608c7823b877d-gzip%22	https://eli.thegreenplace.net/images/pages/py.svg	eli.thegreenplace.net/images/pages/py.svg	(from https://eli.thegreenplace.net/pages/projects)
06:39:25	5953/5953	U--M-Z	200	updated ('OK')	text/html	etag:%221741-62e1a721c9a55-gzip%22	https://eli.thegreenplace.net/2008/11/15/pycparser-v10-is-out	eli.thegreenplace.net/2008/11/15/pycparser-v10-is-out.html	(from https://eli.thegreenplace.net/pages/projects)
06:39:28	37273/37273	U-----	200	untouched ('')	image/png	etag:%229199-608c7823b877d%22	https://eli.thegreenplace.net/images/pages/dwarf-standard.png	eli.thegreenplace.net/images/pages/dwarf-standard.png	(from https://eli.thegreenplace.net/pages/projects)
06:39:29	22543/22543	U--M-Z	200	updated ('OK')	text/html	etag:%22580f-62e1a720df449-gzip%22	https://eli.thegreenplace.net/2020/implementing-raft-part-0-introduction/	eli.thegreenplace.net/2020/implementing-raft-part-0-introduction/index.html	(from https://eli.thegreenplace.net/pages/projects)
