date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:04	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2016%20Feb%202025%2016:23:03%20GMT	https://oska874.gitbooks.io/robots.txt		(from )
23:23:07	17539/17539	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:07%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/	oska874.gitbooks.io/process-scheduling-in-linux/content/index.html	(from )
23:23:08	51107/51107	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202025%2016:23:07%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/style.css	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/style.css	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:09	4853/4853	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202025%2016:20:37%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-comment/plugin.css	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-comment/plugin.css	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:10	31446/31446	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202025%2016:23:09%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-highlight/website.css	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-highlight/website.css	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:11	974/974	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202025%2016:20:37%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-search/search.css	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-search/search.css	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:12	8596/8596	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202025%2016:23:11%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-fontsettings/website.css	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/gitbook-plugin-fontsettings/website.css	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:13	4817/4817	---MC-	200	added ('OK')	image/png	date:Sun,%2016%20Feb%202025%2016:20:38%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/images/apple-touch-icon-precomposed-152.png	oska874.gitbooks.io/process-scheduling-in-linux/content/gitbook/images/apple-touch-icon-precomposed-152.png	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:14	19973/19973	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:13%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter1.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter1.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:15	23387/23387	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:15%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter2.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter2.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:17	24477/24477	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:17%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter3.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter3.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:19	18460/18460	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:19%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter4.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter4.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:21	59239/59239	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:21%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter5.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter5.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:21	18876/18876	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:21%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter6.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter6.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:23	46888/46888	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:23%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter7.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter7.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:24	51097/51097	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:24%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter8.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter8.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:26	36746/36746	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:26%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter9.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter9.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:28	66687/66687	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:28%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter10.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter10.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:28	58174/58174	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:28%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter11.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter11.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:30	19551/19551	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:30%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/chapter12.html	oska874.gitbooks.io/process-scheduling-in-linux/content/chapter12.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
23:23:30	17539/17539	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:23:07%20GMT	https://oska874.gitbooks.io/process-scheduling-in-linux/content/.	oska874.gitbooks.io/process-scheduling-in-linux/content/.html	(from https://oska874.gitbooks.io/process-scheduling-in-linux/content/)
