date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:13	15994/15994	---M-Z	200	added ('OK')	text/html	etag:%22385206ca-3e7a-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html	(from )
23:09:15	178/178	---M--	200	added ('OK')	text/plain	etag:%2210e82e7e-b2-5272fd6a%22	https://web.mit.edu/robots.txt		(from )
23:09:15	23660/23660	---M-Z	200	added ('OK')	text/css	etag:%22385206f4-5c6c-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/book.css	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/book.css	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:16	5679/5679	---M--	200	added ('OK')	image/png	etag:%22385206e8-162f-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/favicon.png	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/favicon.png	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:17	1092/1092	---M-Z	200	added ('OK')	text/css	etag:%22385206b2-444-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/highlight.css	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/highlight.css	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:18	1665/1665	---M-Z	200	added ('OK')	text/css	etag:%22385206d8-681-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/tomorrow-night.css	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/tomorrow-night.css	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:19	871/871	---M-Z	200	added ('OK')	text/css	etag:%223852073a-367-5ad8fbb2%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/ayu-highlight.css	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/ayu-highlight.css	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:20	17226/17226	---M-Z	200	added ('OK')	text/html	etag:%2238520710-434a-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/meet-safe-and-unsafe.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/meet-safe-and-unsafe.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:21	22269/22269	---M-Z	200	added ('OK')	text/html	etag:%2238520722-56fd-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/safe-unsafe-meaning.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/safe-unsafe-meaning.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:22	16371/16371	---M-Z	200	added ('OK')	text/html	etag:%22385206e2-3ff3-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/what-unsafe-does.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/what-unsafe-does.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:23	18127/18127	---M-Z	200	added ('OK')	text/html	etag:%223852071a-46cf-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/working-with-unsafe.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/working-with-unsafe.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:24	13896/13896	---M-Z	200	added ('OK')	text/html	etag:%2238520736-3648-5ad8fbb2%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/data.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/data.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:25	19603/19603	---M-Z	200	added ('OK')	text/html	etag:%22385206de-4c93-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/repr-rust.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/repr-rust.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:26	19752/19752	---M-Z	200	added ('OK')	text/html	etag:%223852071e-4d28-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/exotic-sizes.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/exotic-sizes.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:27	18595/18595	---M-Z	200	added ('OK')	text/html	etag:%223852070a-48a3-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/other-reprs.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/other-reprs.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:28	16507/16507	---M-Z	200	added ('OK')	text/html	etag:%22385206e4-407b-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/ownership.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/ownership.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:29	14567/14567	---M-Z	200	added ('OK')	text/html	etag:%2238520742-38e7-5ad8fbb2%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/references.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/references.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:30	19548/19548	---M-Z	200	added ('OK')	text/html	etag:%22385206e0-4c5c-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/aliasing.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/aliasing.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:31	22058/22058	---M-Z	200	added ('OK')	text/html	etag:%2238520716-562a-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetimes.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetimes.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:32	16251/16251	---M-Z	200	added ('OK')	text/html	etag:%22385206f2-3f7b-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetime-mismatch.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetime-mismatch.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:33	16554/16554	---M-Z	200	added ('OK')	text/html	etag:%2238520706-40aa-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetime-elision.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/lifetime-elision.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
23:09:34	15600/15600	---M-Z	200	added ('OK')	text/html	etag:%22385206e6-3cf0-5ad8fbb1%22	https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/unbounded-lifetimes.html	web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/unbounded-lifetimes.html	(from https://web.mit.edu/rust-lang_v1.25/arch/amd64_ubuntu1404/share/doc/rust/html/nomicon/README.html)
