date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:20	201313/201313	---MCZ	200	added ('OK')	text/html	etag:W/%2231261-607cf7a4179c0%22	https://www.officedaytime.com/simd512e/	www.officedaytime.com/simd512e/index.html	(from )
23:24:20	5016/5016	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%221f2b-5676b79ced36f%22	https://www.officedaytime.com/robots.txt		(from )
23:24:21	6814/6814	---MCZ	200	added ('OK')	text/html	etag:W/%221a9e-605d7aca70b40%22	https://www.officedaytime.com/simd512e/simdimg/avx512memo.html	www.officedaytime.com/simd512e/simdimg/avx512memo.html	(from https://www.officedaytime.com/simd512e/)
23:24:22	8923/8923	---MCZ	200	added ('OK')	text/html	etag:W/%2222db-5db5489d92b00%22	https://www.officedaytime.com/simd512e/simdimg/opmaskinst.html	www.officedaytime.com/simd512e/simdimg/opmaskinst.html	(from https://www.officedaytime.com/simd512e/)
23:24:22	321/321	---M--	200	added ('OK')	image/png	etag:%22141-55b7560fc4500%22	https://www.officedaytime.com/simd512e/simdimg/fromto.png	www.officedaytime.com/simd512e/simdimg/fromto.png	(from https://www.officedaytime.com/simd512e/)
23:24:24	1233/1233	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:23%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movdqa	www.officedaytime.com/simd512e/simdimg/si94b0.html	(from https://www.officedaytime.com/simd512e/)
23:24:25	1325/1325	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:24%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movapd	www.officedaytime.com/simd512e/simdimg/sic827.html	(from https://www.officedaytime.com/simd512e/)
23:24:26	1325/1325	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:25%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movaps	www.officedaytime.com/simd512e/simdimg/si6e7c.html	(from https://www.officedaytime.com/simd512e/)
23:24:27	5563/5563	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:26%20GMT	https://www.officedaytime.com/simd512e/simdimg/vmovdqa.php?f=vmovdqa64	www.officedaytime.com/simd512e/simdimg/vmovdqa3575.html	(from https://www.officedaytime.com/simd512e/)
23:24:28	5571/5571	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:27%20GMT	https://www.officedaytime.com/simd512e/simdimg/vmovdqa.php?f=vmovdqa32	www.officedaytime.com/simd512e/simdimg/vmovdqaf86c.html	(from https://www.officedaytime.com/simd512e/)
23:24:29	3689/3689	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:28%20GMT	https://www.officedaytime.com/simd512e/simdimg/vmovdqa.php?f=vmovdqu16	www.officedaytime.com/simd512e/simdimg/vmovdqacca6.html	(from https://www.officedaytime.com/simd512e/)
23:24:30	3667/3667	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:29%20GMT	https://www.officedaytime.com/simd512e/simdimg/vmovdqa.php?f=vmovdqu8	www.officedaytime.com/simd512e/simdimg/vmovdqaba29.html	(from https://www.officedaytime.com/simd512e/)
23:24:31	1082/1082	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:30%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movhpd	www.officedaytime.com/simd512e/simdimg/sicd8c.html	(from https://www.officedaytime.com/simd512e/)
23:24:32	1082/1082	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:31%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movhps	www.officedaytime.com/simd512e/simdimg/si3206.html	(from https://www.officedaytime.com/simd512e/)
23:24:33	1092/1092	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2016:24:32%20GMT	https://www.officedaytime.com/simd512e/simdimg/si.php?f=movhlps	www.officedaytime.com/simd512e/simdimg/si7a59.html	(from https://www.officedaytime.com/simd512e/)
